,x,y
0,21,150
1,21,169
2,23,188
3,27,208
4,34,229
5,46,251
6,64,271
7,88,284
8,106,287
9,133,281
10,155,264
11,171,243
12,181,221
13,187,200
14,190,180
15,191,160
16,190,140
17,186,120
18,179,99
19,168,78
20,151,57
21,128,42
22,103,38
23,77,46
24,55,63
25,40,84
26,31,105
27,25,125
